Player,Cost,Pos,OFF,TEC,STA,DEF,POW,SPD,Total,Special Skills,Red Positions,Series
Blind,30,DF,726,714,885,721,640,714,4400,Chasing/Tackle + Pass,DMF+CB+LSB,NDS3 Netherlands (2015 Season1)
Cillessen,30,GK,483,951,667,937,896,663,4597,The Sentinel + Quick Save,GK,NDS3 Netherlands (2015 Season1)
Wijnaldum,29,MF,836,784,683,582,587,782,4254,Speedster,OMF+DMF,NDS3 Netherlands (2015 Season1)
Martins Indi,29,DF,593,584,600,807,986,627,4197,Power Tackle,LSB+CB,NDS3 Netherlands (2015 Season1)
Krul,29,GK,417,986,542,947,816,749,4457,Shield of Iron,GK,NDS3 Netherlands (2015 Season1)
De Vrij,29,DF,457,683,569,912,781,728,4130,Power Tackle,CB,NDS3 Netherlands (2015 Season1)
Willems,28,DF,603,529,774,735,617,745,4003,Destroyer,LSB,NDS3 Netherlands (2015 Season1)
Lens,28,FW,896,624,712,472,599,809,4112,Speedster,LWG+LMF+RMF,NDS3 Netherlands (2015 Season1)
Van der Wiel,27,DF,659,632,682,651,634,684,3942,Elegant Cross,RSB,NDS3 Netherlands (2015 Season1)
Veltman,27,DF,441,622,426,840,836,695,3860,Destroyer,CB,NDS3 Netherlands (2015 Season1)
Clasie,27,MF,700,718,669,602,521,669,3879,Killer Pass,OMF+DMF,NDS3 Netherlands (2015 Season1)
Afellay,26,MF,786,651,545,454,546,745,3727,Long Ranger,LMF+OMF+LWG,NDS3 Netherlands (2015 Season1)
Bruma,25,DF,321,500,429,868,761,714,3593,Power Tackle,CB,NDS3 Netherlands (2015 Season1)
Janmaat,25,DF,,,,,,,0,Power Tackle,RSB,NDS3 Netherlands (2015 Season1)
Ronaldo,40,FW,1155,890,845,722,905,1098,5615,Bullet Shot + Speedster,CF+LWG+LMF,NDS3 Portugal (2015 Season1)
Pepe,33,DF,581,652,695,987,1039,738,4692,Chasing + Aerial Duel,CB,NDS3 Portugal (2015 Season1)
J. Moutinho,32,MF,919,885,862,618,596,724,4604,Stealth Pass + Feint Dribble,OMF+RMF,NDS3 Portugal (2015 Season1)
Nani,31,FW,967,763,563,495,651,943,4382,Long Ranger + Speed Dribble,RWG+RMF,NDS3 Portugal (2015 Season1)
Tiago,30,MF,756,973,628,677,656,602,4292,Stealth Pass + Frontline Feed,OMF+DMF,NDS3 Portugal (2015 Season1)
Rui Patricio,29,GK,495,923,541,895,925,700,4479,Shield of Iron,GK,NDS3 Portugal (2015 Season1)
B. Alves,29,DF,451,578,535,924,884,748,4120,Power Tackle,CB,NDS3 Portugal (2015 Season1)
F. Coentrão,29,DF,678,647,784,692,571,774,4146,Speedster,LSB+LMF,NDS3 Portugal (2015 Season1)
Danny,29,FW,902,749,722,485,511,822,4191,Technician,LWG+LMF+OMF,NDS3 Portugal (2015 Season1)
Carvalho,28,DF,448,575,491,884,836,758,3992,Aerial Duel,CB,NDS3 Portugal (2015 Season1)
Vieirinha,28,MF,708,650,776,645,495,887,4161,Speedster,RWG+RMF+RSB+LSB,NDS3 Portugal (2015 Season1)
Quaresma,28,FW,874,629,802,475,504,802,4086,Speedster,RWG+RMF,NDS3 Portugal (2015 Season1)
R. Costa,27,DF,436,426,451,847,931,751,3842,Destroyer,CB,NDS3 Portugal (2015 Season1)
William,27,MF,592,615,639,681,725,574,3826,Aerial Duel,DMF,NDS3 Portugal (2015 Season1)
Eliseu,26,DF,600,590,690,628,539,639,3686,Long Ranger,LSB+LMF+LWG,NDS3 Portugal (2015 Season1)
Cédric,26,DF,,,,,,,0,Chasing,RSB,NDS3 Portugal (2015 Season1)
André Gomes,26,MF,634,716,517,600,668,568,3703,Killer Pass,OMF,NDS3 Portugal (2015 Season1)
Éder,26,FW,851,602,652,412,557,751,3825,Speedster,CF,NDS3 Portugal (2015 Season1)
Bosingwa,25,DF,574,644,620,617,525,620,3600,Early Cross,RSB,NDS3 Portugal (2015 Season1)
Guerreiro,24,DF,625,553,553,526,599,599,3455,Feint Dribble,LSB+LMF,NDS3 Portugal (2015 Season1)
A. Iniesta,38,MF,1036,1123,835,745,722,869,5330,Trick Shot + Technician,LMF+OMF+LWG,NDS3 Spain (2015 Season1)
Diego Costa,37,FW,1098,845,754,637,1069,805,5208,First Time Volley + Speedster,CF,NDS3 Spain (2015 Season1)
Silva,36,MF,1096,1058,638,596,665,1038,5091,Long Ranger + Stealth Pass,OMF+RMF+LMF,NDS3 Spain (2015 Season1)
Fábregas,36,MF,992,1060,846,734,792,748,5172,Stealth Pass + Chasing,OMF+DMF,NDS3 Spain (2015 Season1)
Piqué,36,DF,668,973,789,1045,998,657,5130,Chasing + Frontline Feed,CB,NDS3 Spain (2015 Season1)
Sergio Ramos,36,DF,651,888,785,1067,897,863,5151,Chasing + Aerial Duel,CB+RSB,NDS3 Spain (2015 Season1)
Sergio,34,MF,647,877,875,946,804,618,4767,Tackle + Stealth Pass,DMF,NDS3 Spain (2015 Season1)
Koke,33,MF,868,992,825,713,655,702,4755,Early Cross + Stealth Pass,OMF+RMF+LMF,NDS3 Spain (2015 Season1)
Isco,33,MF,945,997,704,624,624,816,4710,Long Ranger + Technician,OMF+LMF,NDS3 Spain (2015 Season1)
Pedro,32,FW,955,874,663,562,607,899,4560,Striker's Instinct + Speed Dribble,RWG+LWG,NDS3 Spain (2015 Season1)
I. Casillas,32,GK,472,964,729,1036,856,792,4849,The Sentinel + Quick Save,GK,NDS3 Spain (2015 Season1)
Jordi Alba,31,DF,784,725,785,715,496,995,4500,Chasing + Speed Dribble,LSB+LMF,NDS3 Spain (2015 Season1)
De Gea,31,GK,488,945,702,988,811,810,4744,The Sentinel + Quick Save,GK,NDS3 Spain (2015 Season1)
Juanfran,30,DF,725,745,609,724,678,870,4351,Speed Dribble + Early Cross,RSB+RMF,NDS3 Spain (2015 Season1)
Azpilicueta,29,DF,684,675,675,721,731,731,4217,Destroyer,LSB+RSB+RMF,NDS3 Spain (2015 Season1)
Carvajal,28,DF,653,645,645,689,698,698,4028,Elegant Cross,RSB,NDS3 Spain (2015 Season1)
R. Albiol,28,DF,435,547,471,886,836,777,3952,Power Tackle,CB,NDS3 Spain (2015 Season1)
Raúl Garcia,28,MF,884,789,680,475,674,614,4116,Killer Pass,OMF+RMF+CF,NDS3 Spain (2015 Season1)
Morata,27,FW,813,687,575,485,672,665,3897,Striker's Instinct,CF+LWG+LMF,NDS3 Spain (2015 Season1)
Paco Alcácer,26,FW,784,698,548,461,548,708,3747,Striker's Instinct,CF,NDS3 Spain (2015 Season1)
T. Silva,36,DF,584,812,765,1115,965,895,5136,Chasing + Flamboyant Feed,CB,NDS2 Brazil (2014-15)
Neymar Jr,36,FW,1095,1025,653,594,642,1106,5115,Striker's Instinct + Speedster,LWG+CF ,NDS2 Brazil (2014-15)
Dani Alves,34,DF,796,784,721,805,758,936,4800,Early Cross + Speedster,RSB ,NDS2 Brazil (2014-15)
Oscar,34,MF,987,1006,745,634,584,897,4853,Stealth Pass + Elegant Cross,RWG+OMF+RMF ,NDS2 Brazil (2014-15)
Gustavo,33,MF,656,814,805,914,768,751,4708,Stealth Pass + Chasing,DMF+LSB ,NDS2 Brazil (2014-15)
David Luiz,32,DF,836,851,580,700,851,794,4612,Stealth Pass + Flamboyant Feed,CB+DMF     ,NDS2 Brazil (2014-15)
Marcelo,32,DF,836,800,782,699,663,819,4599,Early Cross + Speedster,LSB ,NDS2 Brazil (2014-15)
Maicon,31,DF,627,774,667,834,806,700,4408,Early Cross + Chasing,RSB ,NDS2 Brazil (2014-15)
Willian,31,MF,967,785,801,496,487,931,4467,Stealth Pass + Speedster,LWG+LMF+OMF+RMF ,NDS2 Brazil (2014-15)
Hernanes,31,MF,871,915,637,594,674,694,4385,Feint Dribble + Block Buster ,OMF+DMF  ,NDS2 Brazil (2014-15)
Julio Cesar,30,GK,457,884,480,967,905,677,4370,The Sentinel + Quick Save,GK ,NDS2 Brazil (2014-15)
Dante,29,DF,502,624,574,900,927,681,4208,Aerial Duel,CB ,NDS2 Brazil (2014-15)
Paulinho,29,MF,695,740,765,723,703,670,4296,Aerial Duel,OMF+DMF,NDS2 Brazil (2014-15)
Ramires,29,MF,605,557,824,784,574,809,4153,Chasing,DMF+RMF,NDS2 Brazil (2014-15)
Hulk,29,FW,907,684,652,488,814,724,4269,Striker's Instinct + Speedster,CF+RWG ,NDS2 Brazil (2014-15)
Fred,28,FW,901,657,509,425,885,606,3983,Unstoppable Header,CF ,NDS2 Brazil (2014-15)
Fernandinho,27,MF,558,632,553,758,737,685,3923,Long Ranger,DMF ,NDS2 Brazil (2014-15)
Henrique,26,DF,480,502,431,715,765,717,3610,Aerial Duel,CB ,NDS2 Brazil (2014-15)
Jo,26,FW,868,509,609,398,858,559,3801,Striker,CF ,NDS2 Brazil (2014-15)
Bernard,26,FW,847,570,601,384,348,985,3735,Speedster,OMF+RWG+RMF ,NDS2 Brazil (2014-15)
Neuer,37,GK,612,998,652,1145,995,958,5360,The Sentinel + Quick Save ,GK,NDS2 Germany (2014-15)
Lahm,36,DF,734,895,884,968,705,915,5101,Stealth Pass + Chasing,RSB+DMF,NDS2 Germany (2014-15)
Müller,36,MF,1074,857,772,625,905,884,5117,Striker's Instinct + Stealth Pass,OMF+RMF+RWG+CF,NDS2 Germany (2014-15)
Götze,35,MF,1074,977,554,574,799,1032,5010,First Time Volley + Speed Dribble,LMF+OMF+RMF+CF,NDS2 Germany (2014-15)
Özil,35,MF,1032,1066,549,608,674,980,4909,Long Ranger + Stealth Pass,OMF+RMF+LMF,NDS2 Germany (2014-15)
Hummels,34,DF,547,764,623,1047,1084,704,4769,Chasing + Aerial Duel,CB,NDS2 Germany (2014-15)
Kroos,34,MF,985,1035,652,612,799,700,4783,Long Ranger + Stealth Pass,OMF+DMF,NDS2 Germany (2014-15)
Schweinsteiger,34,MF,796,784,762,798,821,790,4751,Bullet Shot + Chasing,OMF+RMF+DMF,NDS2 Germany (2014-15)
Klose,33,FW,1075,784,584,480,1075,682,4680,Striker + Unstoppable Header,CF ,NDS2 Germany (2014-15)
Boateng,32,DF,674,784,596,815,847,754,4470,Chasing + Flamboyant Feed,CB+RSB ,NDS2 Germany (2014-15)
Khedira,32,MF,759,719,825,778,968,599,4648,Stealth Pass + Chasing,DMF,NDS2 Germany (2014-15)
Schürrle            ,31,MF,957,758,595,527,715,918,4470,Speed Dribble + Striker,LMF+RMF+CF+LWF+RWG ,NDS2 Germany (2014-15)
Höwedes,30,DF,625,674,674,836,885,699,4393,Power Tackle,CB+LSB,NDS2 Germany (2014-15)
Mertesacker,30,DF,527,725,547,908,995,495,4197,Power Tackle,CB,NDS2 Germany (2014-15)
Weidenfeller,29,GK,459,888,554,925,889,700,4415,Shield of Iron,GK ,NDS2 Germany (2014-15)
Podolski,29,MF,933,879,523,457,740,640,4172,Block Buster,LMF+LWG ,NDS2 Germany (2014-15)
Draxler,28,MF,894,847,447,436,614,748,3986,Stealth Pass,OMF+RMF+LMF,NDS2 Germany (2014-15)
Kramer,28,MF,647,721,711,640,674,536,3929,Destroyer,DMF ,NDS2 Germany (2014-15)
Mustafi,27,DF,463,550,471,845,838,785,3952,Destroyer,CB,NDS2 Germany (2014-15)
Durm,26,DF,551,580,580,657,529,829,3726,Destroyer,LSB,NDS2 Germany (2014-15)
Robben,37,MF,1121,1022,421,511,847,1103,5025,Bullet Shot + Speed Dribble,RMF+CF+RWG,NDS2 Netherlands (2014-15)
V. Persie,34,FW,995,833,647,558,915,702,4650,Striker's Instinct + Speed Dribble,LWG+CF ,NDS2 Netherlands (2014-15)
Sneijder,33,MF,974,967,461,592,847,862,4703,Stealth Pass + Bullet Shot,OMF+LMF+RMF ,NDS2 Netherlands (2014-15)
Dirk Kuyt,31,FW,816,774,820,704,780,715,4609,Striker's Instinct + Elegant Cross,CF+RWG+RMF+RSB+LSB ,NDS2 Netherlands (2014-15)
Huntelaar,31,FW,957,795,638,504,857,638,4389,Striker's Instinct + First Time Volley,CF+LWG ,NDS2 Netherlands (2014-15)
De Jong,30,MF,501,666,670,916,784,714,4251,Destroyer + Block,DMF ,NDS2 Netherlands (2014-15)
Martins Indi,29,DF,478,580,597,901,984,628,4168,Power Tackle,CB+LSB ,NDS2 Netherlands (2014-15)
Vlaar,29,DF,457,568,438,921,980,795,4159,Power Tackle,CB ,NDS2 Netherlands (2014-15)
Wijnaldum,29,MF,811,745,679,587,622,774,4218,Speedster,OMF+DMF ,NDS2 Netherlands (2014-15)
Memphis,29,FW,902,664,564,481,620,920,4151,Block Buster + Speed Dribble,LWG,NDS2 Netherlands (2014-15)
Krul,28,GK,415,972,540,935,810,729,4401,Shield of Iron,GK ,NDS2 Netherlands (2014-15)
Cillessen,28,GK,431,890,524,915,884,631,4275,The Sentinel,GK ,NDS2 Netherlands (2014-15)
Blind,28,DF,634,708,685,705,639,705,4076,Destroyer,LSB+LMF+DMF ,NDS2 Netherlands (2014-15)
De Vrij,28,DF,453,675,530,898,765,715,4036,Flamboyant Feed,CB ,NDS2 Netherlands (2014-15)
Lens,28,MF,888,614,704,465,496,804,3971,Speedster,CF+LWG+RWG+LMF+RMF ,NDS2 Netherlands (2014-15)
Clasie,27,MF,698,818,568,588,522,669,3863,Killer Pass,OMF+DMF ,NDS2 Netherlands (2014-15)
Janmaat,26,DF,605,571,621,584,567,619,3567,Power Tackle,RSB ,NDS2 Netherlands (2014-15)
De Guzman,26,MF,795,700,603,411,555,555,3619,Long Ranger,OMF+DMF ,NDS2 Netherlands (2014-15)
Veltman,25,DF,374,537,384,784,742,695,3516,Destroyer,CB ,NDS2 Netherlands (2014-15)
Verhaegh,25,DF,558,568,768,624,415,615,3548,Destroyer,RSB ,NDS2 Netherlands (2014-15)
Ronaldo,38,FW,1111,987,647,702,935,1078,5460,Bullet Shot + Speedster,LWG+LMF+CF,NDS2 Portugal (2014-15)
Pepe,31,DF,495,647,568,967,1035,697,4409,Chasing + Aerial Duel,CB,NDS2 Portugal (2014-15)
J. Moutinho,30,MF,796,835,852,614,427,724,4248,Through Pass + Feint Dribble,OMF+RMF,NDS2 Portugal (2014-15)
Nani,29,FW,956,668,513,415,704,913,4169,Speedster + Long Ranger,RWG+RMF,NDS2 Portugal (2014-15)
R. Patricio,28,GK,457,917,539,889,923,698,4423,Shield of Iron,GK,NDS2 Portugal (2014-15)
B. Alves,28,DF,446,557,477,879,848,795,4002,Aerial Duel,CB,NDS2 Portugal (2014-15)
F. Coentrão,27,DF,647,621,721,647,565,765,3966,Speedster,LSB,NDS2 Portugal (2014-15)
Joao Pereira,27,DF,551,613,613,725,514,814,3830,Speedster,RSB,NDS2 Portugal (2014-15)
R. Meireles,27,MF,710,863,758,605,505,506,3947,Long Ranger,OMF+DMF,NDS2 Portugal (2014-15)
Miguel,27,MF,612,623,545,684,726,674,3864,Flamboyant Feed,DMF,NDS2 Portugal (2014-15)
Beto,26,GK,467,889,494,767,836,667,4120,The Sentinel,GK,NDS2 Portugal (2014-15)
R. Costa,26,DF,427,426,451,824,901,751,3780,Destroyer,CB,NDS2 Portugal (2014-15)
William,26,MF,587,600,525,662,700,650,3724,Aerial Duel,DMF,NDS2 Portugal (2014-15)
Varela,26,FW,841,693,543,395,544,743,3759,Speedster,LWG+LMF,NDS2 Portugal (2014-15)
Neto,25,DF,411,515,441,813,784,735,3699,Power Tackle,CB,NDS2 Portugal (2014-15)
A. Almeida,25,DF,514,582,582,698,631,631,3638,Elegant Cross,LSB+RSB,NDS2 Portugal (2014-15)
R. Amorim,25,MF,524,702,605,685,557,557,3630,Power Tackle,DMF+OMF,NDS2 Portugal (2014-15)
Hugo Almeida,25,FW,855,572,525,345,729,624,3650,Unstoppable Header,CF,NDS2 Portugal (2014-15)
H. Postiga,25,FW,876,770,620,316,426,620,3628,Striker's Instinct,CF,NDS2 Portugal (2014-15)
Éder,25,FW,847,599,649,401,550,749,3795,Speedster,CF,NDS2 Portugal (2014-15)
A. Iniesta,37,MF,1021,1103,815,702,702,867,5210,Trick Shot + Technician,OMF+LMF+LWG,NDS2 Spain (2014-15)
Silva,35,MF,1080,1036,648,526,675,1038,5003,Stealth Pass + Technician,OMF+LMF+RMF,NDS2 Spain (2014-15)
Diego Costa ,35,FW,1084,741,694,567,1014,874,4974,First Time Volley + Speedster,CF ,NDS2 Spain (2014-15)
Sergio Ramos,34,DF,631,674,777,967,897,836,4782,Chasing + Flamboyant Feed,CB + RSB,NDS2 Spain (2014-15)
Piqué,34,DF,618,958,689,1033,971,507,4776,Chasing + Flamboyant Feed,CB,NDS2 Spain (2014-15)
Alonso ,34,MF,845,999,748,754,725,735,4806,Stealth Pass + Feed ,DMF ,NDS2 Spain (2014-15)
Xavi,34,MF,947,1099,548,687,698,801,4780,Long Ranger + Stealth Pass ,OMF+DMF,NDS2 Spain (2014-15)
Koke,31,MF,778,888,825,695,574,678,4438,Early Cross + Flamboyant Feed,LMF + OMF + DMF,NDS2 Spain (2014-15)
Sergio,31,MF,637,800,748,825,784,598,4392,Destroyer ,DMF ,NDS2 Spain (2014-15)
Pedro,31,FW,935,824,658,542,536,899,4394,Striker's Instinct + Speed Dribble,LWG + RWG ,NDS2 Spain (2014-15)
I. Casillas,30,GK,512,824,602,936,815,712,4401,The Sentinel + Quick Save,GK,NDS2 Spain (2014-15)
Martínez,30,MF,612,735,647,805,798,645,4242,Chasing + Aerial Duel ,DMF + CB,NDS2 Spain (2014-15)
S. Cazorla ,30,MF,884,958,475,536,501,825,4179,Technician + Block Buster ,OMF + RMF ,NDS2 Spain (2014-15)
David Villa,30,FW,917,756,555,536,798,798,4360,Striker's Instinct + Chasing,CF + LWG ,NDS2 Spain (2014-15)
Juanfran ,29,DF,669,669,639,724,605,860,4166,Elegant Cross ,RMF + RSB ,NDS2 Spain (2014-15)
Torres ,29,FW,935,674,505,397,777,815,4103,Striker + Feint Dribble ,CF ,NDS2 Spain (2014-15)
Reina ,28,GK,451,772,540,899,826,729,4217,Shield of Iron ,GK ,NDS2 Spain (2014-15)
Jordi Alba ,28,DF,689,578,785,668,495,902,4117,Speed Dribble ,LSB+LMF,NDS2 Spain (2014-15)
R. Albiol,27,DF,425,539,462,857,821,770,3874,Power Tackle ,CB ,NDS2 Spain (2014-15)
Azpilicueta ,27,MF,601,600,602,678,651,700,3832,Chasing ,RMF + LSB + RSB ,NDS2 Spain (2014-15)
T. Silva,35,DF,578,741,882,1067,957,784,5009,Chasing + Flamboyant Feed,CB,NDS1 Brazil (2014)
Neymar Jr,34,FW,1074,966,561,558,642,1098,4899,Trick Shot + Speedster,LWG+CF,NDS1 Brazil (2014)
Dani Alves,33,DF,748,657,691,803,820,928,4647,Early Cross + Speedster,RSB,NDS1 Brazil (2014)
Dante,32,DF,551,697,609,954,989,702,4502,Chasing + Aerial Duel,CB+LSB,NDS1 Brazil (2014)
Oscar,32,MF,965,840,698,573,691,801,4568,Stealth Pass + Elegant Cross,OMF+RMF+RWG,NDS1 Brazil (2014)
Marcelo,31,DF,721,768,782,734,658,696,4359,Early Cross + Speedster,LSB,NDS1 Brazil (2014)
Hulk,31,FW,989,572,713,478,965,715,4606,Striker's Instinct + Speedster,CF+RWG,NDS1 Brazil (2014)
Maicon,30,DF,617,751,692,814,692,691,4257,Early Cross + Chasing,RSB,NDS1 Brazil (2014)
David Luiz,30,DF,731,844,578,703,652,788,4296,Stealth Pass + Flamboyant Feed,CB+DMF,NDS1 Brazil (2014)
Hernanes,30,MF,857,902,611,574,652,692,4288,Feint Dribble + Block Buster,OMF+DMF,NDS1 Brazil (2014)
Willian,30,MF,934,582,857,495,474,941,4283,Speedster + Killer Pass,OMF+RMF+LMF+LWG,NDS1 Brazil (2014)
Lucas,30,MF,911,631,651,511,525,1025,4254,Speedster,OMF+RMF+RWG,NDS1 Brazil (2014)
Maxwell,29,DF,701,745,662,684,647,678,4117,Elegant Cross,LSB,NDS1 Brazil (2014)
Gustavo,29,MF,435,558,775,934,667,712,4081,Destroyer,DMF+LSB,NDS1 Brazil (2014)
Ramires,28,MF,602,533,774,734,551,804,3998,Chasing,DMF,NDS1 Brazil (2014)
Paulinho,28,MF,702,646,565,642,753,699,4007,Aerial Duel,OMF+DMF,NDS1 Brazil (2014)
Fred,28,FW,967,620,524,385,913,624,4033,Unstoppable Header,CF,NDS1 Brazil (2014)
Jo,26,FW,868,509,609,398,858,559,3801,Striker's Instinct,CF,NDS1 Brazil (2014)
Julio Cesar,25,GK,361,854,474,824,901,640,4054,Shield of Iron,GK,NDS1 Brazil (2014)
Bernard,25,MF,821,470,591,361,327,985,3555,Speedster,OMF+RWG,NDS1 Brazil (2014)
Neuer,35,GK,512,975,639,1095,986,844, 5051,The Sentinel + Quick Save,GK,NDS1 Germany (2014)
Lahm,35,DF,700,888,871,954,685,902, 5000,Stealth Pass + Chasing,RSB+DMF,NDS1 Germany (2014)
Müller,35,MF,1036,817,748,600,885,824, 4910,Striker's Instinct + Stealth Pass,OMF+RMF+CF,NDS1 Germany (2014)
Götze,34,MF,1033,947,542,567,688,1024, 4801,Trick Shot + Stealth Pass,OMF+LMF+LWG+CF,NDS1 Germany (2014)
Özil,34,MF,1011,1045,528,585,601,974, 4744,Long Ranger + Stealth Pass,OMF+RMF+LMF+LWG,NDS1 Germany (2014)
Hummels,33,DF,521,750,605,1025,1067,694, 4662,Chasing + Aerial Duel,CB,NDS1 Germany (2014)
Schweinsteiger,33,MF,752,769,740,749,761,772, 4543,Bullet Shot + Chasing,OMF+RMF+DMF,NDS1 Germany (2014)
Kroos,32,MF,974,874,648,546,796,698, 4536,Bullet Shot + Elegant Cross,OMF,NDS1 Germany (2014)
Mertesacker,31,DF,545,719,531,928,1085,484, 4292,Chasing + Aerial Duel,CB,NDS1 Germany (2014)
Khedira,31,MF,748,716,727,743,957,576, 4467,Stealth Pass + Chasing,DMF,NDS1 Germany (2014)
Klose,31,FW,1000,715,580,470,956,680, 4401,Striker's Instinct + Unstoppable Header,CF,NDS1 Germany (2014)
Boateng,30,DF,618,784,584,806,741,741, 4274,Chasing + Flamboyant Feed,CB+RSB,NDS1 Germany (2014)
Höwedes,29,DF,556,663,663,825,819,619, 4145,Power Tackle,CB+LSB,NDS1 Germany (2014)
Podolski,29,MF,933,879,523,457,740,640, 4172,Block Buster,LMF+LWG,NDS1 Germany (2014)
Schürrle,28,MF,911,748,595,424,515,815, 4008,Speedster,RMF+LMF+LWG,NDS1 Germany (2014)
Großkreutz,27,DF,562,613,613,714,458,869, 3829,Speedster,RSB+RMF+LMF,NDS1 Germany (2014)
Draxler,27,MF,887,836,484,427,605,705, 3944,Stealth Pass,OMF+RMF+LMF,NDS1 Germany (2014)
Kramer,26,MF,611,735,738,635,698,547, 3964,Destroyer,DMF,NDS1 Germany (2014)
Durm,25,DF,551,580,580,657,529,829, 3726,Destroyer,LSB,NDS1 Germany (2014)
Robben,35,MF,1035,945,437,602,835,1047,4901,Bullet Shot + Speed Dribble,LMF+RMF+RWG,NDS1 Netherlands (2014)
V.Persie,33,FW,995,833,647,558,915,702,4650,Striker's Instinct + Block Buster,CF+LWG,NDS1 Netherlands (2014)
Sneijder,32,MF,968,903,468,538,802,854,4533,Stealth Pass + Bullet Shot,OMF+LMF+RMF,NDS1 Netherlands (2014)
De Jong,31,MF,592,665,668,879,884,765,4453,Destroyer + Block,DMF,NDS1 Netherlands (2014)
Huntelaar,30,FW,933,795,738,485,724,638,4313,Striker's Instinct + First Time Volley,CF+LWG,NDS1 Netherlands (2014)
Wijnaldum,28,MF,801,682,675,548,621,728,4055,Speedster,OMF+RWG,NDS1 Netherlands (2014)
Lens,28,FW,888,614,704,465,596,804,4071,Speedster,CF+LWG+RWG+LMF+RMF,NDS1 Netherlands (2014)
Vlaar,27,DF,456,552,428,856,920,788,4000,Power Tackle,CB,NDS1 Netherlands (2014)
Blind,27,DF,621,628,674,687,629,680,3919,Destroyer,LSB+DMF,NDS1 Netherlands (2014)
Clasie,27,MF,698,818,568,588,521,669,3862,Stealth Pass,OMF+DMF,NDS1 Netherlands (2014)
Cillessen,26,GK,357,889,518,895,874,625,4158,The Sentinel,GK,NDS1 Netherlands (2014)
De Vrij,25,DF,389,501,429,802,763,715,3599,Flamboyant Feed,CB,NDS1 Netherlands (2014)
Janmaat,25,DF,605,571,621,584,567,619,3567,Power Tackle,RSB,NDS1 Netherlands (2014)
De Guzman,25,MF,795,700,603,411,555,555,3619,Block Buster,OMF,NDS1 Netherlands (2014)
Memphis,25,FW,809,548,621,385,526,735,3624,Speedster,LWG,NDS1 Netherlands (2014)
Veltman,24,DF,374,537,384,784,742,695,3516,Flamboyant Feed,CB,NDS1 Netherlands (2014)
Kongolo,24,DF,527,541,541,599,586,586,3380,Power Tackle,CB+LSB,NDS1 Netherlands (2014)
Martins Indi,24,DF,579,554,554,574,700,500,3461,Chasing,CB+LSB,NDS1 Netherlands (2014)
Verhaegh,24,DF,546,538,538,574,583,583,3362,Destroyer,RSB,NDS1 Netherlands (2014)
Xavi,36,MF,984,1074,764,712,698,799,5031,Long Ranger + Stealth Pass,OMF+DMF,NDS1 Spain (2014)
A. Iniesta,36,MF,1011,1031,775,698,694,821,5030,Trick Shot + Technician,OMF+LMF+LWG,NDS1 Spain (2014)
I. Casillas,34,GK,552,928,602,1068,957,852,4959,The Sentinel + Quick Save,GK,NDS1 Spain (2014)
Pique,34,DF,608,945,645,1024,968,602,4792,Chasing + Flamboyant Feed,CB,NDS1 Spain (2014)
Silva,34,MF,1025,988,624,534,656,1015,4842,Stealth Pass + Technician,OMF+LMF+RMF,NDS1 Spain (2014)
Sergio Ramos,33,DF,628,617,774,935,867,796,4617,Chasing + Flamboyant Feed,CB+RSB,NDS1 Spain (2014)
Fábregas,33,MF,942,962,736,609,752,578,4579,Trick Shot + Stealth Pass,OMF+DMF+CF,NDS1 Spain (2014)
Diego Costa,33,FW,1026,738,551,524,935,863,4637,Speedster + First Time Volley,CF,NDS1 Spain (2014)
Alonso,32,MF,775,992,700,729,608,652,4456,Stealth Pass + Frontline Feed,DMF,NDS1 Spain (2014)
Mata,31,MF,925,757,678,536,614,818,4328,Stealth Pass + Speedster,OMF+LMF+RMF,NDS1 Spain (2014)
Jesus Navas,30,MF,957,685,678,458,427,1035,4240,Speedster + Elegant Cross,RMF+RWG,NDS1 Spain (2014)
Pedro,30,FW,895,768,645,537,513,895,4253,Striker's Instinct + Speed Dribble,LWG+RWG,NDS1 Spain (2014)
Busquets,29,MF,584,712,656,795,758,598,4103,Destroyer,DMF,NDS1 Spain (2014)
Martinez,29,MF,612,735,647,805,798,645,4242,Chasing + Aerial Duel,DMF+CB,NDS1 Spain (2014)
S. Cazorla,29,MF,874,909,448,495,495,795,4016,Technician + Block Buster,OMF+LMF+RMF,NDS1 Spain (2014)
A.Negredo,29,FW,912,621,748,478,758,605,4122,Block Buster,CF,NDS1 Spain (2014)
Torres,28,FW,935,674,505,397,777,815,4103,Striker's Instinct + Feint Dribble,CF,NDS1 Spain (2014)
Juanfran,27,DF,587,647,618,687,592,727,3858,Elegant Cross,RSB+RMF,NDS1 Spain (2014)
Jordi Alba,27,DF,618,567,760,658,487,887,3977,Speed Dribble,LSB+LMF,NDS1 Spain (2014)
Azpilicueta,26,DF,580,591,590,649,639,640,3689,Destroyer,LSB+RSB,NDS1 Spain (2014)
Neymar Jr,30,FW,969,859,601,416,463,847,4155,Trick Shot + Technician,CF+LWG,NDG5 Brazil (2016)
Kaka',24,FW,786,676,384,344,587,552,3329,Trick Shot + Technician,OMF+LMF,NDG5 Brazil (2016)
Neymar Jr,29,FW,916,825,611,464,495,829,4140,Trick Shot + Technician,CF+LWG,NDG4 Brazil (2015 Season2)
Griezmann,26,FW,832,641,603,437,525,758,3796,Striker's Instinct + Early Cross,CF+LWG+LMF+OMF,NDG4 France (2015 Season2)
